id,word
157,president
157,trump's
157,coronavirus
157,response
157,truth
158,u.s
158,intent
158,regard
158,iran
158,clearfuture
158,u.s
158,military
158,action
158,depend
158,iran
158,decide
159,joe
159,biden
159,spend
159,washington
159,stand
159,china
159,teach
159,dog
159,trick
160,tennessee
161,president
161,message
161,american
161,citizen
161,greatesuntry
161,world
162,they’re
162,happy
162,speak
162,directly
162,american
162,people
162,crisis
162,strong
163,trump
163,poll
163,election
163,constant
163,phony
163,witch
163,hunt
163,ten
163,thousand
163,people
163,attend
163,rally
163,fake
163,news
163,mention
163,earth
163,fun
163,usa
163,win
164,ukrainian
164,leader
164,repeatedly
164,reject
164,push
164,pressure
164,mainstream
164,press
165,american
165,people
165,begin
165,abuse
165,constitution
165,senate
165,provide
165,fair
166,promise
166,promise
166,keepamericagreat
167,tomorrow
167,champ
168,government
168,iran
168,human
168,monitor
168,report
168,grind
168,ongoing
168,protest
168,iranian
168,people
168,massacre
168,peaceful
168,protester
168,internet
168,shutdown
168,world
168,watch
169,head
169,florida
169,republican
169,party
169,event
169,sk
169,market
169,record
169,job
169,usa
169,time
170,true
170,dead
170,al
170,rimi
170,mark
170,major
170,blow
170,alqaeda
170,al
170,rimi
170,candidate
171,president
171,sign
171,law
171,caresact
171,business
171,stay
171,worker
172,trump
172,boom
172,u.s
172,add
172,job
172,january
172,surpass
172,wall
172,st
172,estimate
173,president
173,sign
173,caresact
173,single
173,economic
173,relief
173,package
173,history
173,potus
174,reporter
174,angrily
174,insist
174,abouronavirus
174,test
174,datum
174,wrong
174,president
174,trump
175,incredible
175,time
175,nation
175,midst
175,american
175,comeback
175,job
175,boom
175,income
175,soar
175,poverty
175,plummet
175,confidence
175,surge
175,completely
175,rebuild
175,awesome
175,power
175,u.s
175,military
175,promise
175,promise
176,u.s
176,kill
176,top
176,al
176,qaeda
176,leader
176,yemen
176,report
177,live
177,alqaeda
177,leader
177,al
177,rimi
177,mosmpelling
177,charisma
177,beloved
177,aq
177,community
178,yesterday
178,bunfirmed
178,aqap
178,leader
178,qassim
178,al
178,rimi
178,kill
178,u.s
178,drone
178,strike
178,aqap
179,break
179,qasim
179,al
179,rimi
179,leader
179,yemen
179,base
179,aqap
179,individual
179,target
179,kill
179,u.s
180,house
180,republican
180,rebuke
180,fbi
180,director
180,wray
180,tepid
180,response
180,damn
180,ig
180,report
181,joe
181,biden
181,ramble
181,struggle
181,word
181,interview
181,coronavirus
181,response
182,joe
182,biden’s
182,town
182,hall
182,hillary
182,clinton
182,fantas
182,start
183,bloomberg
183,buy
183,election
183,ju
184,awesome
184,team
184,hard
184,stay
184,safe
185,president
185,sign
185,coronavirus
185,relief
185,care
185,act
186,law
